report_month,state,ministry,sector,project_count,original_cost,revised_cost,expenditure
September_2025,Jharkhand,Ministry of Mines,Metals & Mining,2,3370.02,3370.02,19.8
September_2025,Jharkhand,Ministry of Petroleum & Natural Gas,Energy Storage,1,10228.0,11407.0,9811.29
September_2025,Jharkhand,9811.29,Oil & Gas,3,2010.07,2010.07,613.95
September_2025,Jharkhand,"Ministry of Ports, Shipping and Waterways",Inland Waterways,1,5369.18,5061.15,3488.6
September_2025,Jharkhand,Ministry of Power,Coal,2,2083.0,2365.0,911.38
September_2025,Jharkhand,911.38,Electricity Generation,2,31470.0,34660.0,19115.79
September_2025,Jharkhand,19115.79,Transmission & Distribution,1,1842.25,1842.25,1643.0
September_2025,Jharkhand,Ministry of Railways,Railways,11,40310.82,40704.8,15043.66
September_2025,Jharkhand,Ministry of Steel,Steel,6,2854.58,3572.87,1330.79
September_2025,Karnataka,Department for Promotion of Industry & Internal Trade,Real Estate,1,1701.81,1701.81,117.01
September_2025,Karnataka,Department of Higher Education,Education,1,420.41,420.41,364.44
September_2025,Karnataka,"Department of Water Resources, River Development & GR",Water Resources,1,770.16,1606.07,1515.32
September_2025,Karnataka,Ministry of Civil Aviation,Aviation & Aviation Infrastructure,3,1143.4,1143.4,535.64
September_2025,Karnataka,Ministry of Housing & Urban Affairs,Urban Public Transport,2,41193.24,45483.2,38385.84
September_2025,Karnataka,38385.84,Waste & Water,2,337.69,337.69,1461.5
September_2025,Karnataka,Ministry of Petroleum & Natural Gas,Energy Storage,1,678.0,1732.0,767.09
September_2025,Karnataka,767.09,Oil & Gas,5,9662.0,12693.6,8795.03
September_2025,Karnataka,Ministry of Power,Transmission & Distribution,6,15682.01,15682.0,3165.63
September_2025,Karnataka,Ministry of Railways,Railways,15,23023.29,29441.9,17503.36
September_2025,Karnataka,Ministry of Steel,Steel,1,1043.63,1043.63,262.34
September_2025,Kerala,Department of Higher Education,Education,1,1006.45,1217.4,632.59
September_2025,Kerala,Ministry of Civil Aviation,Aviation & Aviation Infrastructure,1,484.57,484.57,85.16
September_2025,Kerala,Ministry of Housing & Urban Affairs,Urban Public Transport,1,1957.05,1957.05,363.54
September_2025,Kerala,Ministry of Petroleum & Natural Gas,Oil & Gas,3,7996.87,10990.9,4939.69
September_2025,Kerala,"Ministry of Ports, Shipping and Waterways",Shipping,1,1799.0,1799.0,1558.39
September_2025,Kerala,Ministry of Railways,Railways,3,2846.0,5183.19,2807.21
September_2025,Ladakh,Department of Telecommunications,Telecommunication,1,336.89,301.13,227.82
September_2025,Ladakh,Ministry of Civil Aviation,Aviation & Aviation Infrastructure,1,480.0,640.0,456.22
September_2025,Ladakh,Ministry of Power,Transmission & Distribution,1,288.71,288.71,242.52
September_2025,Madhya Pradesh,Department of Higher Education,Education,1,496.28,496.28,38.62
September_2025,Madhya Pradesh,Department of Telecommunications,Telecommunication,3,3883.82,3691.11,834.55
September_2025,Madhya Pradesh,"Department of Water Resources, River Development & GR",Water Resources,3,2628.27,2941.14,2825.25
September_2025,Madhya Pradesh,Ministry of Coal,Coal,14,8634.02,8634.02,3430.25
September_2025,Madhya Pradesh,Ministry of Housing & Urban Affairs,Urban Public Transport,2,14442.2,14442.2,7713.93
September_2025,Madhya Pradesh,7713.93,Waste & Water,4,1243.05,1243.05,8721.84
September_2025,Madhya Pradesh,Ministry of Mines,Metals & Mining,1,1856.36,1856.36,935.32
September_2025,Madhya Pradesh,Ministry of Petroleum & Natural Gas,Energy Storage,1,10088.0,10088.0,7979.86
September_2025,Madhya Pradesh,7979.86,Oil & Gas,2,51211.25,51622.0,8523.0
September_2025,Madhya Pradesh,Ministry of Power,Transmission & Distribution,6,17446.0,17446.0,3446.38
September_2025,Madhya Pradesh,Ministry of Railways,Railways,19,58468.02,72465.1,43219.83
September_2025,Maharashtra,Department of Higher Education,Education,2,250.33,446.26,168.39
September_2025,Maharashtra,Department of Telecommunications,Telecommunication,4,7608.59,7608.59,2001.34
September_2025,Maharashtra,"Department of Water Resources, River Development & GR",Water Resources,11,22660.36,32345.7,33603.52
September_2025,Maharashtra,Ministry of Civil Aviation,Aviation & Aviation Infrastructure,1,500.48,500.48,332.26
September_2025,Maharashtra,Ministry of Coal,Coal,25,12455.88,12455.9,3092.43
September_2025,Maharashtra,Ministry of Housing & Urban Affairs,Urban Public Transport,7,46771.57,60911.6,33377.4
September_2025,Maharashtra,33377.40,Waste & Water,5,1088.72,1088.72,7594.4
September_2025,Maharashtra,Ministry of Petroleum & Natural Gas,Energy Storage,1,281.35,389.67,234.6
September_2025,Maharashtra,234.60,Oil & Gas,13,34264.24,37660.4,21065.98
September_2025,Maharashtra,"Ministry of Ports, Shipping and Waterways",Healthcare,1,693.0,693.0,58.0
September_2025,Maharashtra,58.00,Shipping,2,6900.0,6900.0,6064.89
September_2025,Maharashtra,Ministry of Power,Transmission & Distribution,3,29589.67,29589.7,6092.55
September_2025,Maharashtra,Ministry of Railways,Railways,34,262485.75,354459.0,263737.65
September_2025,Manipur,"Department of Water Resources, River Development & GR",Water Resources,1,1449.44,1822.24,1837.91
September_2025,Manipur,Ministry of Civil Aviation,Aviation & Aviation Infrastructure,1,499.0,499.0,154.43
September_2025,Manipur,Ministry of Petroleum & Natural Gas,Oil & Gas,1,9265.0,9265.0,6426.54
September_2025,Manipur,Ministry of Power,Transmission & Distribution,1,5111.33,6700.0,5295.68
September_2025,Manipur,Ministry of Railways,Railways,1,14323.0,21885.9,15598.11
September_2025,Meghalaya,Department of Higher Education,Education,1,494.52,494.52,413.57
September_2025,Meghalaya,Department of Telecommunications,Telecommunication,1,971.96,971.96,208.25
September_2025,Meghalaya,Ministry of Petroleum & Natural Gas,Oil & Gas,1,9265.0,9265.0,6426.54
September_2025,Meghalaya,Ministry of Power,Transmission & Distribution,1,5111.33,6700.0,5295.68
September_2025,Mizoram,Department of Higher Education,Education,1,474.23,474.23,167.55
September_2025,Mizoram,Ministry of Petroleum & Natural Gas,Oil & Gas,1,9265.0,9265.0,6426.54
September_2025,Mizoram,Ministry of Power,Transmission & Distribution,1,5111.33,6700.0,5295.68
September_2025,Nagaland,Department of Higher Education,Education,1,275.63,275.63,261.24
September_2025,Nagaland,Ministry of Petroleum & Natural Gas,Oil & Gas,2,9492.62,9492.62,6435.88
September_2025,Nagaland,Ministry of Power,Transmission & Distribution,1,5111.33,6700.0,5295.68
September_2025,Nagaland,Ministry of Railways,Railways,2,8786.7,8786.7,5532.06
September_2025,Odisha,Department of Higher Education,Education,1,1229.32,773.76,837.04
September_2025,Odisha,Department of Telecommunications,Telecommunication,3,7147.17,7147.17,1835.32
September_2025,Odisha,"Department of Water Resources, River Development & GR",Water Resources,2,1556.46,5291.33,5342.49
September_2025,Odisha,Ministry of Coal,Coal,12,36526.28,34218.0,13055.11
September_2025,Odisha,13055.11,Electricity Generation,1,27212.96,27213.0,2517.13
September_2025,Odisha,Ministry of Mines,Metals & Mining,5,7343.97,9724.14,5167.84
September_2025,Odisha,Ministry of Petroleum & Natural Gas,Energy Storage,2,12886.34,14217.0,12084.27
September_2025,Odisha,12084.27,Oil & Gas,5,25285.44,23768.5,15972.39
September_2025,Odisha,"Ministry of Ports, Shipping and Waterways",Shipping,1,3004.63,3004.63,1149.79
September_2025,Odisha,Ministry of Power,Electricity Generation,1,11843.75,12543.0,4574.68
September_2025,Odisha,4574.68,Transmission & Distribution,1,342.69,342.69,0.7
September_2025,Odisha,Ministry of Railways,Railways,21,38899.99,43632.0,32329.67
September_2025,Odisha,32329.67,Railways,1,267.61,267.61,0.0
September_2025,Odisha,Ministry of Steel,Steel,1,1105.23,1105.23,769.08
September_2025,Puducherry,Department of Higher Education,Education,1,618.34,544.34,509.55
September_2025,Puducherry,Ministry of Railways,Railways,1,713.0,981.0,598.38
September_2025,Punjab,Department of Higher Education,Education,2,559.3,559.3,300.39
September_2025,Punjab,"Department of Water Resources, River Development & GR",Water Resources,2,3727.07,5177.86,5072.69
September_2025,Punjab,Ministry of Housing & Urban Affairs,Waste & Water,2,545.53,545.53,1842.39
September_2025,Punjab,Ministry of Petroleum & Natural Gas,Oil & Gas,6,13060.36,13090.4,8400.69
September_2025,Punjab,Ministry of Power,Transmission & Distribution,1,5969.0,5969.0,344.41
September_2025,Punjab,Ministry of Railways,Railways,3,15702.64,15703.0,9091.19
September_2025,Rajasthan,Department of Telecommunications,Telecommunication,2,758.54,530.07,362.33
September_2025,Rajasthan,Ministry of Civil Aviation,Aviation & Aviation Infrastructure,2,1367.0,1367.0,680.64
September_2025,Rajasthan,Ministry of Coal,Electricity Generation,1,1813.0,1813.0,1038.13
September_2025,Rajasthan,Ministry of Petroleum & Natural Gas,Energy Storage,3,52618.05,88948.1,67860.06
September_2025,Rajasthan,67860.06,Oil & Gas,2,10599.0,10599.0,6653.1
September_2025,Rajasthan,Ministry of Power,Electricity Generation,1,5491.89,5491.89,5009.15
September_2025,Rajasthan,5009.15,Transmission & Distribution,22,53646.51,54198.2,18830.67
September_2025,Rajasthan,Ministry of Railways,Railways,23,88639.51,164210.0,139887.44
September_2025,Sikkim,Department of Higher Education,Education,2,999.82,924.82,359.78
September_2025,Sikkim,Ministry of Civil Aviation,Aviation & Aviation Infrastructure,1,323.26,323.26,34.3
September_2025,Sikkim,Ministry of Petroleum & Natural Gas,Oil & Gas,1,9265.0,9265.0,6426.54
September_2025,Sikkim,Ministry of Power,Electricity Generation,2,6686.33,7576.15,6102.42
September_2025,Sikkim,6102.42,Transmission & Distribution,1,4754.42,9129.32,7598.33
September_2025,Sikkim,Ministry of Railways,Railways,1,7877.0,12133.0,9039.91
September_2025,Tamil Nadu,Ministry of Civil Aviation,Aviation & Aviation Infrastructure,1,1207.0,1207.0,164.13
September_2025,Tamil Nadu,Ministry of Coal,Electricity Generation,1,218.03,218.03,161.73
September_2025,Tamil Nadu,Ministry of Housing & Urban Affairs,Inland Waterways,1,63246.0,63246.0,27456.44
September_2025,Tamil Nadu,Ministry of Mines,Metals & Mining,1,166.0,166.0,135.0
September_2025,Tamil Nadu,Ministry of Petroleum & Natural Gas,Energy Storage,3,2334.0,3448.71,1721.14
September_2025,Tamil Nadu,1721.14,Oil & Gas,4,38385.0,46153.0,6084.92
September_2025,Tamil Nadu,Ministry of Power,Transmission & Distribution,1,548.0,548.0,23.72
September_2025,Tamil Nadu,Ministry of Railways,Railways,7,8370.7,11489.7,5801.3
September_2025,Telangana,Department of Higher Education,Education,1,262.0,262.0,178.17
September_2025,Telangana,Department of Telecommunications,Telecommunication,3,3923.59,3923.59,866.06
September_2025,Telangana,"Department of Water Resources, River Development & GR",Water Resources,4,11670.14,24129.6,11830.43
September_2025,Telangana,Ministry of Civil Aviation,Aviation & Aviation Infrastructure,1,500.48,500.48,332.26
September_2025,Telangana,Ministry of Coal,Coal,9,3890.03,3890.03,2473.74
September_2025,Telangana,Ministry of Health & Family Welfare,Healthcare,1,1028.0,1365.95,821.99
September_2025,Telangana,Ministry of Housing & Urban Affairs,Construction,1,644.0,644.0,87.6
September_2025,Telangana,Ministry of Power,Transmission & Distribution,2,5694.56,5694.56,4573.22
September_2025,Telangana,Ministry of Railways,Railways,9,16396.23,20160.2,9819.59
September_2025,Tripura,Ministry of Petroleum & Natural Gas,Energy Storage,1,656.0,656.0,483.9
September_2025,Tripura,483.90,Oil & Gas,2,9474.33,9396.51,6495.44
September_2025,Tripura,Ministry of Power,Transmission & Distribution,1,5111.33,6700.0,5295.68
September_2025,Uttar Pradesh,Department of Higher Education,Education,1,246.0,246.0,194.14
September_2025,Uttar Pradesh,Department of Telecommunications,Telecommunication,4,4220.71,3992.24,1062.37
September_2025,Uttar Pradesh,"Department of Water Resources, River Development & GR",Waste & Water,2,1532.96,1532.96,243.43
September_2025,Uttar Pradesh,243.43,Water Resources,3,2953.27,6309.81,4437.48
September_2025,Uttar Pradesh,Ministry of Civil Aviation,Aviation & Aviation Infrastructure,5,7268.31,7323.51,17006.35
September_2025,Uttar Pradesh,Ministry of Coal,Coal,2,1328.09,1328.09,1042.0
September_2025,Uttar Pradesh,1042.00,Electricity Generation,1,17237.8,21780.9,20510.47
September_2025,Uttar Pradesh,Ministry of Housing & Urban Affairs,Urban Public Transport,3,49730.1,49730.1,41757.77
September_2025,Uttar Pradesh,Ministry of Housing & Urban Affairs,Waste & Water,2,797.47,797.47,4818.74
September_2025,Uttar Pradesh,Ministry of Petroleum & Natural Gas,Energy Storage,2,11068.45,11068.5,8200.83
September_2025,Uttar Pradesh,8200.83,Oil & Gas,3,17824.68,18213.1,1620.78
September_2025,Uttar Pradesh,"Ministry of Ports, Shipping and Waterways",Inland Waterways,1,5369.18,5061.15,3488.6
September_2025,Uttar Pradesh,Ministry of Power,Electricity Generation,2,28284.42,30471.2,14804.23
September_2025,Uttar Pradesh,14804.23,Transmission & Distribution,3,8114.81,8114.81,1975.1
September_2025,Uttar Pradesh,Ministry of Railways,Railways,28,93991.92,168618.0,148347.6
September_2025,Uttarakhand,Department of Higher Education,Education,1,650.85,650.85,195.52
September_2025,Uttarakhand,"Department of Water Resources, River Development & GR",Water Resources,1,2584.1,2584.1,968.52
September_2025,Uttarakhand,Ministry of Housing & Urban Affairs,Real Estate,1,150.97,150.97,18.95
September_2025,Uttarakhand,Ministry of Power,Electricity Generation,3,11663.95,26070.0,20568.54
September_2025,Uttarakhand,Ministry of Railways,Railways,1,38953.0,38953.0,24645.15
September_2025,West Bengal,Department of Higher Education,Education,1,500.0,442.0,383.6
September_2025,West Bengal,Department of Telecommunications,Telecommunication,2,3462.17,3462.17,700.04
September_2025,West Bengal,"Department of Water Resources, River Development & GR",Waste & Water,1,154.73,154.73,96.17
September_2025,West Bengal,Ministry of Civil Aviation,Aviation & Aviation Infrastructure,2,1877.3,1877.3,398.12
September_2025,West Bengal,Ministry of Coal,Coal,13,15863.74,15863.7,2832.85
September_2025,West Bengal,Ministry of Mines,Construction,1,255.37,255.37,83.03
September_2025,West Bengal,Ministry of Petroleum & Natural Gas,Energy Storage,1,10228.0,11407.0,9811.29
September_2025,West Bengal,9811.29,Oil & Gas,8,18159.65,19007.2,11428.96
September_2025,West Bengal,"Ministry of Ports, Shipping and Waterways",Inland Waterways,1,5369.18,5061.15,3488.6
September_2025,West Bengal,3488.60,Shipping,2,551.91,551.91,429.28
September_2025,West Bengal,Ministry of Power,Electricity Generation,3,20091.84,20160.8,3773.75
September_2025,West Bengal,3773.75,Transmission & Distribution,2,751.63,751.63,1.01
September_2025,West Bengal,Ministry of Railways,Railways,14,46167.32,56739.3,33671.35
September_2025,West Bengal,Ministry of Steel,Steel,5,4214.67,4214.67,452.3
December_2025,Offshore,Ministry of Petroleum & Natural Gas,Oil & Gas,6,19714.58,22972.8,12511.42
December_2025,Offshore,"Ministry of Ports, Shipping and Waterways",Inland Waterways,1,177.0,197.0,383.41
December_2025,Offshore,Ministry of Railways,Railways,1,819.0,819.0,580.51
December_2025,PAN India,Department of Telecommunications,Telecommunication,5,141080.68,263402.0,73544.16
December_2025,PAN India,Ministry of Railways,Railways,1,274.39,274.39,0.0
December_2025,Andaman & Nicobar,Ministry of Housing & Urban Affairs,Real Estate,1,209.88,209.88,0.0
December_2025,Andhra Pradesh,Department for Promotion of Industry & Internal Trade,Real Estate,1,2139.44,2139.44,568.22
December_2025,Andhra Pradesh,Department of Higher Education,Education,1,305.0,305.0,51.33
December_2025,Andhra Pradesh,Department of Telecommunications,Telecommunication,3,7147.17,7147.17,2369.02
December_2025,Andhra Pradesh,"Department of Water Resources, River Development & GR",Water Resources,3,10901.5,57269.5,27321.88
December_2025,Andhra Pradesh,Ministry of Civil Aviation,Aviation & Aviation Infrastructure,3,1224.86,1224.86,741.32
December_2025,Andhra Pradesh,Ministry of Housing & Urban Affairs,Waste & Water,1,172.22,172.22,88.86
December_2025,Andhra Pradesh,Ministry of Labour and Employment,Healthcare,1,384.27,384.27,167.37
December_2025,Andhra Pradesh,Ministry of Petroleum & Natural Gas,Energy Storage,2,2898.34,3050.0,2417.92
December_2025,Andhra Pradesh,2417.92,Oil & Gas,4,37804.0,37864.0,32778.98
December_2025,Andhra Pradesh,Ministry of Power,Transmission & Distribution,6,17931.23,17931.2,5796.55
December_2025,Andhra Pradesh,Ministry of Railways,Railways,25,47518.61,55475.5,33329.05
December_2025,Andhra Pradesh,Ministry of Road Transport & Highways,Roads & Highways,52,48187.47,47907.5,16351.06
December_2025,Arunachal Pradesh,Department of Higher Education,Education,1,592.61,592.61,550.61
December_2025,Arunachal Pradesh,Department of Telecommunications,Telecommunication,1,1255.49,1255.49,299.02
December_2025,Arunachal Pradesh,Ministry of Petroleum & Natural Gas,Oil & Gas,1,9265.0,9265.0,6622.0
December_2025,Arunachal Pradesh,Ministry of Power,Electricity Generation,4,41850.64,61640.8,29708.73
December_2025,Arunachal Pradesh,29708.73,Transmission & Distribution,2,4963.8,9338.7,7809.26
December_2025,Arunachal Pradesh,Ministry of Railways,Railways,1,435.0,1250.0,805.31
December_2025,Arunachal Pradesh,Ministry of Road Transport & Highways,Roads & Highways,6,3335.98,3296.08,457.02
December_2025,Assam,Department of Higher Education,Education,1,153.71,153.71,125.03
December_2025,Assam,Department of Telecommunications,Telecommunication,1,1255.49,1255.49,299.02
December_2025,Assam,"Department of Water Resources, River Development & GR",Water Resources,1,256.16,256.16,44.7
December_2025,Assam,Ministry of Civil Aviation,Aviation & Aviation Infrastructure,1,1712.0,2520.0,2514.59
December_2025,Assam,Ministry of Coal,Coal,2,449.23,449.23,187.08
December_2025,Assam,Ministry of Labour and Employment,Healthcare,1,143.23,154.75,116.08
December_2025,Assam,Ministry of Petroleum & Natural Gas,Energy Storage,3,10768.4,11947.4,10513.11
December_2025,Assam,10513.11,Oil & Gas,14,27584.43,37939.2,27750.59
December_2025,Assam,Ministry of Power,Electricity Generation,1,6285.33,26075.5,25718.57
December_2025,Assam,25718.57,Transmission & Distribution,1,5111.33,6700.0,5442.41
December_2025,Assam,Ministry of Railways,Railways,8,18227.15,19942.2,10778.28
December_2025,Assam,Ministry of Road Transport & Highways,Roads & Highways,32,26070.92,25618.5,1812.54
December_2025,Bihar,Department of Higher Education,Education,1,499.21,499.21,445.97
December_2025,Bihar,Department of Telecommunications,Telecommunication,4,4220.71,3992.24,1417.07
December_2025,Bihar,"Department of Water Resources, River Development & GR",Waste & Water,5,2351.43,2351.43,1303.45
December_2025,Bihar,1303.45,Water Resources,2,2193.34,3088.88,614.84
December_2025,Bihar,Ministry of Civil Aviation,Aviation & Aviation Infrastructure,3,3541.56,3541.56,1425.64
December_2025,Bihar,Ministry of Health & Family Welfare,Healthcare,1,1264.0,1264.0,0.0
December_2025,Bihar,Ministry of Housing & Urban Affairs,Urban Public Transport,1,13365.77,13365.8,4670.21
December_2025,Bihar,4670.21,Waste & Water,1,158.78,158.78,69.52
December_2025,Bihar,Ministry of Petroleum & Natural Gas,Energy Storage,1,10228.0,11407.0,10270.18
December_2025,Bihar,10270.18,Oil & Gas,7,25153.5,27018.2,13941.35
December_2025,Bihar,"Ministry of Ports, Shipping and Waterways",Inland Waterways,1,5369.18,5061.15,3717.08
December_2025,Bihar,Ministry of Power,Electricity Generation,1,10439.09,13756.6,12911.13
December_2025,Bihar,12911.13,Transmission & Distribution,3,3119.63,3119.63,10.25
December_2025,Bihar,Ministry of Railways,Railways,22,50016.25,54484.6,76561.12
December_2025,Bihar,Ministry of Road Transport & Highways,Roads & Highways,44,50936.38,48685.1,13684.01
December_2025,Chhattisgarh,Department of Higher Education,Education,1,1188.97,1188.97,0.0
December_2025,Chhattisgarh,Department of Telecommunications,Telecommunication,3,7147.17,7147.17,2369.02
December_2025,Chhattisgarh,"Department of Water Resources, River Development & GR",Water Resources,2,842.26,1109.33,855.96
December_2025,Chhattisgarh,Ministry of Coal,Coal,12,30153.29,30153.3,12431.78
December_2025,Chhattisgarh,12431.78,Railways,1,1686.22,1686.22,484.26
December_2025,Chhattisgarh,Ministry of Petroleum & Natural Gas,Oil & Gas,3,10613.29,11024.0,6993.27
December_2025,Chhattisgarh,Ministry of Power,Electricity Generation,2,25321.0,25897.0,4552.6
December_2025,Chhattisgarh,Ministry of Railways,Railways,20,36771.79,41215.9,20642.99
December_2025,Chhattisgarh,Ministry of Road Transport & Highways,Roads & Highways,11,8367.23,9174.44,3554.3
December_2025,Chhattisgarh,Ministry of Steel,Metals & Mining,1,1700.0,1756.2,155.07
December_2025,Chhattisgarh,155.07,Steel,6,7530.14,10050.1,5830.53
December_2025,Dadra & Nagar Haveli and Daman & Diu,Ministry of Housing & Urban Affairs,Waste & Water,1,210.0,210.0,0.0
December_2025,Dadra & Nagar Haveli and Daman & Diu,Ministry of Power,Transmission & Distribution,1,4546.26,4546.26,4358.49
December_2025,Dadra & Nagar Haveli and Daman & Diu,Ministry of Railways,Railways,1,108000.0,108000.0,85337.89
December_2025,Delhi,Department of Higher Education,Education,2,706.49,709.42,325.28
December_2025,Delhi,Department of Telecommunications,Telecommunication,1,248.2,248.2,236.91
December_2025,Delhi,Ministry of Health & Family Welfare,Healthcare,2,4799.19,4799.19,24.68
December_2025,Delhi,Ministry of Housing & Urban Affairs,Real Estate,1,32850.0,32850.0,0.0
December_2025,Delhi,0.00,Urban Public Transport,4,69853.45,69853.4,45842.54
December_2025,Delhi,Ministry of Power,Transmission & Distribution,2,2331.0,2331.0,1708.24
December_2025,Delhi,Ministry of Railways,Railways,5,19348.46,19348.5,1225.05
December_2025,Delhi,Ministry of Road Transport & Highways,Roads & Highways,2,3557.38,4713.79,3143.96
December_2025,Goa,Ministry of Civil Aviation,Aviation & Aviation Infrastructure,1,255.69,255.69,154.3
December_2025,Goa,Ministry of Railways,Railways,2,5804.49,6182.62,6420.85
December_2025,Goa,Ministry of Road Transport & Highways,Roads & Highways,2,868.22,790.9,102.44
December_2025,Gujarat,Department of Higher Education,Education,1,490.63,490.63,316.05
December_2025,Gujarat,Department of Telecommunications,Telecommunication,1,336.89,301.13,237.19
December_2025,Gujarat,"Department of Water Resources, River Development & GR",Water Resources,2,25739.93,40082.8,36817.84
December_2025,Gujarat,Ministry of Civil Aviation,Aviation & Aviation Infrastructure,1,1305.0,1551.0,739.77
December_2025,Gujarat,Ministry of Coal,Electricity Generation,4,5421.78,5421.78,1531.38
December_2025,Gujarat,Ministry of Health & Family Welfare,Healthcare,1,1195.0,1195.0,774.6
December_2025,Gujarat,Ministry of Housing & Urban Affairs,Real Estate,1,539.0,539.0,39.63
December_2025,Gujarat,39.63,Urban Public Transport,3,28177.49,30329.0,25315.14
December_2025,Gujarat,25315.14,Waste & Water,1,200.0,200.0,100.0
December_2025,Gujarat,Ministry of Labour and Employment,Healthcare,3,973.35,973.35,290.3
December_2025,Gujarat,Ministry of Petroleum & Natural Gas,Energy Storage,3,19472.86,19420.4,15702.67
December_2025,Gujarat,15702.67,Oil & Gas,11,32704.12,32296.3,24180.17
December_2025,Gujarat,"Ministry of Ports, Shipping and Waterways",Shipping,3,4514.64,4681.1,1287.01
December_2025,Gujarat,1287.01,"Tourism, Hospitality & Wellness",1,573.0,1238.05,545.51
December_2025,Gujarat,Ministry of Power,Electricity Generation,1,339.35,339.35,317.59
December_2025,Gujarat,317.59,Transmission & Distribution,14,48255.1,48255.1,13027.5
December_2025,Gujarat,Ministry of Railways,Railways,26,186558.1,263078.0,222820.9
December_2025,Gujarat,Ministry of Road Transport & Highways,Roads & Highways,20,21459.77,26094.4,15619.11
December_2025,Haryana,Ministry of Health & Family Welfare,Healthcare,1,1299.0,1646.43,479.98
December_2025,Haryana,Ministry of Housing & Urban Affairs,Urban Public Transport,1,6230.99,6230.99,72.43
December_2025,Haryana,72.43,Waste & Water,2,491.2,491.2,387.03
December_2025,Haryana,Ministry of Petroleum & Natural Gas,Energy Storage,1,9028.0,9028.0,7394.54
December_2025,Haryana,7394.54,Oil & Gas,5,45925.07,49596.1,37642.94
December_2025,Haryana,Ministry of Power,Transmission & Distribution,3,11696.0,11696.0,1644.8
December_2025,Haryana,Ministry of Railways,Railways,4,53464.0,126368.0,125687.83
December_2025,Haryana,Ministry of Road Transport & Highways,Roads & Highways,8,9252.0,9548.4,4122.25
December_2025,Himachal Pradesh,Department of Higher Education,Education,3,811.15,921.89,652.55
December_2025,Himachal Pradesh,Department of Telecommunications,Telecommunication,1,336.89,301.13,237.19
December_2025,Himachal Pradesh,Ministry of Power,Electricity Generation,4,7728.04,13783.7,4389.81
December_2025,Himachal Pradesh,Ministry of Railways,Railways,3,17005.0,17005.1,97254.21
December_2025,Himachal Pradesh,Ministry of Road Transport & Highways,Roads & Highways,13,9084.05,10926.2,3825.83
December_2025,Jammu and Kashmir,Department of Higher Education,Education,1,424.93,500.91,484.52
December_2025,Jammu and Kashmir,Department of Telecommunications,Telecommunication,1,336.89,301.13,237.19
December_2025,Jammu and Kashmir,Ministry of Civil Aviation,Aviation & Aviation Infrastructure,1,861.37,861.37,248.88
December_2025,Jammu and Kashmir,Ministry of Health & Family Welfare,Healthcare,1,1828.0,2160.84,1491.97
December_2025,Jammu and Kashmir,Ministry of Petroleum & Natural Gas,Energy Storage,1,676.89,715.89,576.69
December_2025,Jammu and Kashmir,576.69,Oil & Gas,2,1059.9,1059.9,253.81
December_2025,Jammu and Kashmir,Ministry of Power,Electricity Generation,4,22207.77,27945.1,13958.9
December_2025,Jammu and Kashmir,13958.90,Transmission & Distribution,1,218.6,218.6,2.71
December_2025,Jammu and Kashmir,Ministry of Road Transport & Highways,Roads & Highways,21,23044.71,22716.7,8785.51
December_2025,Jharkhand,Department of Telecommunications,Telecommunication,3,7147.17,7147.17,2369.02
December_2025,Jharkhand,"Department of Water Resources, River Development & GR",Water Resources,2,5430.04,12010.3,5957.45
December_2025,Jharkhand,Ministry of Coal,Coal,28,51354.95,51119.3,10763.01
December_2025,Jharkhand,10763.01,Railways,1,1799.64,2564.34,1489.74
December_2025,Jharkhand,Ministry of Housing & Urban Affairs,Waste & Water,3,654.14,654.14,403.16
December_2025,Jharkhand,Ministry of Petroleum & Natural Gas,Energy Storage,1,10228.0,11407.0,10270.18
December_2025,Jharkhand,Ministry of Petroleum & Natural Gas,Oil & Gas,3,2010.07,2010.07,640.9
December_2025,Jharkhand,"Ministry of Ports, Shipping and Waterways",Inland Waterways,1,5369.18,5061.15,3717.08
December_2025,Jharkhand,Ministry of Power,Coal,2,2083.0,2365.0,987.47
December_2025,Jharkhand,987.47,Electricity Generation,2,33026.0,34660.0,19704.88
December_2025,Jharkhand,19704.88,Transmission & Distribution,1,1842.25,1842.25,1648.05
December_2025,Jharkhand,Ministry of Railways,Railways,14,46589.07,47449.7,15276.82
December_2025,Jharkhand,Ministry of Road Transport & Highways,Roads & Highways,18,22680.79,22167.5,10121.82
December_2025,Jharkhand,Ministry of Steel,Steel,6,2854.58,3572.87,1559.19
December_2025,Karnataka,Department for Promotion of Industry & Internal Trade,Real Estate,1,1701.81,1701.81,184.16
December_2025,Karnataka,"Department of Water Resources, River Development & GR",Water Resources,1,770.16,1606.07,1515.32
December_2025,Karnataka,Ministry of Civil Aviation,Aviation & Aviation Infrastructure,3,1143.4,1143.4,599.57
December_2025,Karnataka,Ministry of Housing & Urban Affairs,Urban Public Transport,2,41193.24,45483.2,39001.19
December_2025,Karnataka,39001.19,Waste & Water,2,337.69,337.69,178.89
December_2025,Karnataka,Ministry of Labour and Employment,Healthcare,2,428.92,428.92,235.37
December_2025,Karnataka,Ministry of Petroleum & Natural Gas,Energy Storage,1,678.0,1732.0,893.48
December_2025,Karnataka,893.48,Oil & Gas,5,9662.0,12693.6,9114.41
December_2025,Karnataka,"Ministry of Ports, Shipping and Waterways",Shipping,1,153.23,153.23,24.0
December_2025,Karnataka,Ministry of Power,Transmission & Distribution,9,21604.0,21604.0,4676.94
